,rcsb_id,uniprot,ligand_name,smiles,source
0,10gs,P09211,VWW,c1ccc(cc1)CSCC(C(=O)NC(c2ccccc2)C(=O)O)NC(=O)CCC(C(=O)O)N,pdbbind_old
1,184l,P00720,I4B,CC(C)Cc1ccccc1,pdbbind_old
2,185l,P00720,IND,c1ccc2c(c1)cc[nH]2,pdbbind_old
3,186l,P00720,N4B,CCCCc1ccccc1,pdbbind_new
4,187l,P00720,PXY,Cc1ccc(cc1)C,pdbbind_old
5,188l,P00720,OXE,Cc1ccccc1C,pdbbind_old
6,1a28,P06401,STR,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,pdbbind_old
7,1a4k,P01834,FRA,CC(=O)Nc1ccc(cc1)N2C(=O)C3C4CCC(C3C2=O)(CC4)NC(=O)OCC(=O)O,pdbbind_old
8,1a4r,P60953,GNH,c1nc2c(n1C3C(C(C(O3)COP(=O)(O)OP(=O)(N)O)O)O)N=C(NC2=O)N,pdbbind_old
9,1a4w,P09945 P00734,QWE,CN(C)c1cccc2c1cccc2S(=O)(=O)NC(CCCNC(=[NH2+])N)C(=O)N3CCCCC3CCC(=O)c4nccs4,pdbbind_old
10,1a54,P0AG82,MDC,CCN(CC)c1ccc2c(c1)OC(=O)C(=C2)C(=O)NC=CN3C(=O)CCC3=O,dcoid
11,1a69,P0ABP8,FMB,C1=Nc2c(n[nH]c2C(=O)N1)C3C(C(C(O3)CO)O)O,pdbbind_old
12,1a6v,P01724,NPC,c1cc(c(cc1CC(=O)NCCCCCC(=O)[O-])[N+](=O)[O-])O,dcoid
13,1a6w,P01724,NIP,c1c(cc(c(c1[N+](=O)[O-])O)I)CC(=O)NCCCCCC(=O)[O-],dcoid
14,1a94,P03367,0Q4,CCCCC(C(=O)N)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NCC(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=[NH2+])N)N,pdbbind_old
15,1a99,P31133,PUT,C(CCN)CN,pdbbind_old
16,1a9m,P03366,U0E,CC(C)C(CC(C(CC1CCCCC1)NC(=O)C)O)C(=O)NC(CCC(=O)N)C(=O)NC(CCCNC(=N)N)C(=O)N,pdbbind_old
17,1a9q,P55859,HPA,c1[nH]c2c(n1)N=CNC2=O,pdbbind_old
18,1a9u,Q16539,SB2,CS(=O)c1ccc(cc1)c2[nH]c(c(n2)c3ccc(cc3)F)c4ccncc4,dcoid
19,1aaq,P03367,PSI,CC(C)C(C(=O)NC(C(C)C)C(=O)OC)NC(=O)CCC(C(Cc1ccccc1)NC(=O)C(C)NC(=O)C(C)N)O,pdbbind_old
20,1add,P03958,1DA,c1cnc2c(c1N)ncn2C3C(C(C(O3)CO)O)O,pdbbind_old
21,1adl,P04117,ACD,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,pdbbind_old
22,1ado,P00883,13P,C(C(=O)COP(=O)(O)O)O,pdbbind_old
23,1afe,P00734,ALZ,c1ccc(cc1)COC(=O)N2CCCC2C(=O)NNCCCCN,dcoid
24,1afk,P61823,PAP,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)OP(=O)(O)O)O)N,pdbbind_old
25,1afl,P61823,ATR,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)OP(=O)(O)O)N,pdbbind_new
26,1ai4,P06875,DHY,c1cc(c(cc1CC(=O)O)O)O,pdbbind_old
27,1ai5,P06875,MNP,c1cc(cc(c1)[N+](=O)[O-])CC(=O)O,pdbbind_old
28,1ai7,P06875,IPH,c1ccc(cc1)O,pdbbind_old
29,1aid,P03369,THK,c1cc(ccc1C2(SCCS2)CCCN3CCC(CC3)(c4ccc(cc4)Cl)O)F,pdbbind_old
30,1aim,P25779,ZYA,CC(C(=O)CF)NC(=O)C(Cc1ccc(cc1)O)NC(=O)OCc2ccccc2,dcoid
31,1aj7,P01857,NPE,c1cc(ccc1[N+](=O)[O-])OP(=O)(CCCCC(=O)O)[O-],pdbbind_old
32,1ajn,P06875,AAN,c1cc(ccc1CC(=O)O)[N+](=O)[O-],pdbbind_old
33,1ajp,P06875,OMD,c1cc(c(cc1O)CC(=O)O)O,pdbbind_old
34,1ajq,P06875,SPA,c1cc(sc1)CC(=O)O,pdbbind_old
35,1ajv,P03366,NMB,c1ccc(cc1)CN2C(C(C(C(N(S2(=O)=O)Cc3ccccc3)COc4ccccc4)O)O)COc5ccccc5,pdbbind_old
36,1ajx,P03366,AH1,c1ccc(cc1)CN2C(C(C(C(N(C2=O)Cc3ccccc3)COc4ccccc4)O)O)COc5ccccc5,pdbbind_old
37,1alw,P04574,ISA,c1cc(ccc1CC(C(=O)O)S)I,pdbbind_old
38,1amk,P48499,PGA,C(C(=O)O)OP(=O)(O)O,pdbbind_old
39,1amw,P02829,ADP,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,pdbbind_old
40,1atr,P19120,ADP,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N,pdbbind_old
41,1avn,P00918,HSM,c1c(nc[nH]1)CCN,pdbbind_old
42,1ax0,P16404,A2G,CC(=O)NC1C(C(C(OC1O)CO)O)O,pdbbind_old
43,1az8,P00760,IN4,[H]N=C(c1cccc(c1)C(CCc2ccc(cc2)C(=N)N)CC(=O)OC)N,dcoid
44,1azm,P00915,AZM,CC(=O)Nc1nnc(s1)S(=O)(=O)N,pdbbind_old
45,1b38,P24941,ATP,c1nc(c2c(n1)n(cn2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,pdbbind_old
46,1b55,Q06187,4IP,C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)OP(=O)(O)O)O,pdbbind_old
47,1b57,P0AB71,PGH,C(C(=O)NO)OP(=O)(O)O,pdbbind_old
48,1b6k,P03369,PI5,CCC(C)C1C(=O)NCCCOc2ccc(cc2)CC(C(=O)N1)NCC(C(Cc3ccc(cc3)O)NC(=O)C(C(C)C)N4CCCC4=O)O,pdbbind_old
49,1b6l,P03369,PI4,CC(C)(C)NC(=O)C1CCCCN1CC(C2Cc3ccc(cc3)OCCCC(=O)NC(C(=O)N2)CC(=O)N)O,pdbbind_old
50,1b8n,P55859,IMG,c1c(c2c([nH]1)C(=O)NC(=N2)N)C3C(C(C(N3)CO)O)O,pdbbind_old
51,1b8o,P55859,IMH,c1c(c2c([nH]1)c(ncn2)O)C3C(C(C(N3)CO)O)O,pdbbind_old
52,1b8y,P08254,IN7,c1ccc(cc1)C2CCN(CC2)c3ccc(cc3)S(=O)(=O)NCC(=O)O,pdbbind_old
53,1bai,P03322 P03354,0Q4,CCCCC(C(=O)N)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(Cc1ccccc1)NCC(CC(C)C)NC(=O)C(C(C)C)NC(=O)C(CCCNC(=[NH2+])N)N,pdbbind_old
54,1bcd,P00918,FMS,C(F)(F)(F)S(=O)(=O)N,pdbbind_old
55,1bcu,P01050 P00734,PRL,c1cc(cc2c1cc3ccc(cc3n2)N)N,pdbbind_old
56,1bdq,P04587,IM1,CC(C)C(c1[nH]ccn1)NC(=O)C(Cc2ccccc2)CC(C(Cc3ccccc3)NC(=O)OC(C)(C)C)O,pdbbind_old
57,1bgq,P02829,RDC,CC1CC2C(O2)C=CC=CC(=O)Cc3c(c(cc(c3Cl)O)O)C(=O)O1,pdbbind_old
58,1bhx,P00734,R56,c1ccc(cc1)CS(=O)(=O)NC2CCC3N(C2=O)C(CS3)C(=O)NCCCNC(=N)N,pdbbind_old
59,1bju,P00760,GP6,[H]N=C(c1ccc(cc1)NC(=O)Nc2ccc(cc2)Cl)N,pdbbind_old
60,1bjv,P00760,GP8,c1ccc(cc1)Oc2ccc(cc2)NC(=O)Nc3ccc(cc3)C(=N)N,pdbbind_old
61,1bl7,Q16539,SB4,c1cc(ccc1c2c(n(cn2)C3CCNCC3)c4ccnc(n4)N)F,dcoid
62,1bm7,P02766,FLF,c1ccc(c(c1)C(=O)O)Nc2cccc(c2)C(F)(F)F,pdbbind_old
63,1bmk,Q16539,SB5,c1cc(ccc1c2c(n(cn2)CC3CC3)c4ccnc(n4)N)F,dcoid
64,1bn1,P00918,AL5,Cc1ccc(cc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N,pdbbind_old
65,1bn3,P00918,AL6,COc1cccc(c1)N2C=Cc3cc(sc3S2(=O)=O)S(=O)(=O)N,pdbbind_old
66,1bn4,P00918,AL9,COc1ccc(cc1)CNS(=O)(=O)c2ccc(s2)S(=O)(=O)N,pdbbind_new
67,1bnn,P00918,AL1,COc1cccc(c1)N2CCc3cc(sc3S2(=O)=O)S(=O)(=O)N,pdbbind_old
68,1bnq,P00918,AL4,CCNC1CN(S(=O)(=O)c2c1cc(s2)S(=O)(=O)N)CCOC,pdbbind_old
69,1bnt,P00918,AL2,COc1ccc(cc1)N2CC(c3cc(sc3S2(=O)=O)S(=O)(=O)N)O,pdbbind_old
